Parameters:
Owner   Type  Dir         Value  Name
     9  s32   RO              0  axis.0.home-state
     9  s32   RO              0  axis.1.home-state
     9  s32   RO              0  axis.2.home-state
    12  bit   RW          FALSE  hm2_5i25.0.7i77.0.1.analogena-invert
    12  float RW             10  hm2_5i25.0.7i77.0.1.analogout0-maxlim
    12  float RW            -10  hm2_5i25.0.7i77.0.1.analogout0-minlim
    12  float RW             10  hm2_5i25.0.7i77.0.1.analogout0-scalemax
    12  float RW             10  hm2_5i25.0.7i77.0.1.analogout1-maxlim
    12  float RW            -10  hm2_5i25.0.7i77.0.1.analogout1-minlim
    12  float RW             10  hm2_5i25.0.7i77.0.1.analogout1-scalemax
    12  float RW             10  hm2_5i25.0.7i77.0.1.analogout2-maxlim
    12  float RW            -10  hm2_5i25.0.7i77.0.1.analogout2-minlim
    12  float RW             10  hm2_5i25.0.7i77.0.1.analogout2-scalemax
    12  float RW             10  hm2_5i25.0.7i77.0.1.analogout3-maxlim
    12  float RW            -10  hm2_5i25.0.7i77.0.1.analogout3-minlim
    12  float RW             10  hm2_5i25.0.7i77.0.1.analogout3-scalemax
    12  float RW             10  hm2_5i25.0.7i77.0.1.analogout4-maxlim
    12  float RW            -10  hm2_5i25.0.7i77.0.1.analogout4-minlim
    12  float RW             10  hm2_5i25.0.7i77.0.1.analogout4-scalemax
    12  float RW             10  hm2_5i25.0.7i77.0.1.analogout5-maxlim
    12  float RW            -10  hm2_5i25.0.7i77.0.1.analogout5-minlim
    12  float RW             10  hm2_5i25.0.7i77.0.1.analogout5-scalemax
    12  u32   RO     0x110000BB  hm2_5i25.0.7i77.0.1.serial-number
    12  bit   RW          FALSE  hm2_5i25.0.7i77.0.1.spinena-invert
    12  u32   RO     0x00420000  hm2_5i25.0.7i77.0.1.status
    12  bit   RW          FALSE  hm2_5i25.0.encoder.00.counter-mode
    12  bit   RW           TRUE  hm2_5i25.0.encoder.00.filter
    12  bit   RW          FALSE  hm2_5i25.0.encoder.00.index-invert
    12  bit   RW          FALSE  hm2_5i25.0.encoder.00.index-mask
    12  bit   RW          FALSE  hm2_5i25.0.encoder.00.index-mask-invert
